AREA_LEVEL_NAMES,COUNTRY_KEY,AREA_LEVEL_MODEL_NAMES
Gachhua-1,BGD,BGD-01741
Gachhua-2,BGD,BGD-01742
Gadaipur,BGD,BGD-01743
Gadkhali,BGD,BGD-01744
Gaffargaon,BGD,BGD-01745
Gaffargaon Paurashava,BGD,BGD-01746
Gaglajur,BGD,BGD-01747
Gahira,BGD,BGD-01748
Gaibandha,BGD,BGD-01749
Gaila,BGD,BGD-01750
Gainda,BGD,BGD-01751
Gajaghanta,BGD,BGD-01752
Gajalia,BGD,BGD-01753
Gajna,BGD,BGD-01754
Gajra,BGD,BGD-01755
Gala-1,BGD,BGD-01756
Gala-2,BGD,BGD-01757
Gala-3,BGD,BGD-01758
Galachipa,BGD,BGD-01759
Galagaon,BGD,BGD-01760
Galiara,BGD,BGD-01761
Galimpur-1,BGD,BGD-01762
Galimpur-2,BGD,BGD-01763
Gallai (uttar Gallai Union),BGD,BGD-01764
Galua,BGD,BGD-01765
Gamaritala,BGD,BGD-01766
Ganapaddi,BGD,BGD-01767
Ganda,BGD,BGD-01768
Gandail,BGD,BGD-01769
Gandamara,BGD,BGD-01770
Ganeshpur,BGD,BGD-01771
Gangachara,BGD,BGD-01772
Gangail,BGD,BGD-01773
Ganganandapur,BGD,BGD-01774
Gangapur,BGD,BGD-01775
Gangarampur-1,BGD,BGD-01776
Gangarampur-2,BGD,BGD-01777
Gangni-1,BGD,BGD-01778
Gangni-2,BGD,BGD-01779
Gangni Paurashava,BGD,BGD-01780
Ganguria,BGD,BGD-01781
Gangutia,BGD,BGD-01782
Ganipur,BGD,BGD-01783
Ganna,BGD,BGD-01784
Gaodia,BGD,BGD-01785
Gaokandia,BGD,BGD-01786
Gaola,BGD,BGD-01787
Garadaha,BGD,BGD-01788
Garadoba,BGD,BGD-01789
Garagram,BGD,BGD-01790
Garduara,BGD,BGD-01791
Gareya,BGD,BGD-01792
Gargari,BGD,BGD-01793
Gariber Char,BGD,BGD-01794
Garidaha,BGD,BGD-01795
Garinabari,BGD,BGD-01796
Garjania,BGD,BGD-01797
Garjaripa,BGD,BGD-01798
Garmora,BGD,BGD-01799
Garpara,BGD,BGD-01800
Garuikhali,BGD,BGD-01801
Garuria,BGD,BGD-01802
Gatti,BGD,BGD-01803
Gaurambha,BGD,BGD-01804
Gaurichanna,BGD,BGD-01805
Gaurighona,BGD,BGD-01806
Gaurigram,BGD,BGD-01807
Gauripur-1,BGD,BGD-01808
Gauripur-2,BGD,BGD-01809
Gauripur-3,BGD,BGD-01810
Gauripur-4,BGD,BGD-01811
Gauripur Paurashava,BGD,BGD-01812
Gayabari,BGD,BGD-01813
Gayeshpur-1,BGD,BGD-01814
Gayeshpur-2,BGD,BGD-01815
Gayhata,BGD,BGD-01816
Gazalia-1,BGD,BGD-01817
Gazalia-2,BGD,BGD-01818
Gazaria-1,BGD,BGD-01819
Gazaria-2,BGD,BGD-01820
Gazaria-3,BGD,BGD-01821
Gazaria-4,BGD,BGD-01822
Gazaria-5,BGD,BGD-01823
Gazipur-1,BGD,BGD-01824
Gazipur-2,BGD,BGD-01825
Gazipur-3,BGD,BGD-01826
Gazipur-4,BGD,BGD-01827
Gazipur Paurashava,BGD,BGD-01828
Gazir Bhita,BGD,BGD-01829
Gazir Char,BGD,BGD-01830
Gazir Hat,BGD,BGD-01831
Gazirtek,BGD,BGD-01832
Gaznapur,BGD,BGD-01833
Gedura,BGD,BGD-01834
Ghagar,BGD,BGD-01835
Ghagoa,BGD,BGD-01836
Ghagotia,BGD,BGD-01837
Ghagra-1,BGD,BGD-01838
Ghagra-2,BGD,BGD-01839
Ghagra-3,BGD,BGD-01840
Ghagra-4,BGD,BGD-01841
Ghagutia,BGD,BGD-01842
Ghalangya,BGD,BGD-01843
Ghandung,BGD,BGD-01844
Gharialdanga,BGD,BGD-01845
Gharinda,BGD,BGD-01846
Gharisar,BGD,BGD-01847
Gharjan,BGD,BGD-01848
Gharua,BGD,BGD-01849
Ghasigram,BGD,BGD-01850
Ghatail,BGD,BGD-01851
Ghatail Paurashava,BGD,BGD-01852
Ghatbhogh,BGD,BGD-01853
Ghatmajhi,BGD,BGD-01854
Ghatnagar,BGD,BGD-01855
Ghazir Khamar,BGD,BGD-01856
Ghila Chhari-1,BGD,BGD-01857
Ghila Chhari-2,BGD,BGD-01858
Ghior,BGD,BGD-01859
Ghoga,BGD,BGD-01860
Ghogadaha,BGD,BGD-01861
Gholpasha,BGD,BGD-01862
Ghona,BGD,BGD-01863
Ghoradhap,BGD,BGD-01864
Ghoraghat,BGD,BGD-01865
Ghorapakhia,BGD,BGD-01866
Ghorashal Paurashava,BGD,BGD-01867
Ghorshal,BGD,BGD-01868
Ghoshbagh,BGD,BGD-01869
Ghosher Para,BGD,BGD-01870
Ghoshgaon,BGD,BGD-01871
Ghoshnagar,BGD,BGD-01872
Ghoshpur,BGD,BGD-01873
Ghuridaha,BGD,BGD-01874
Ghurka,BGD,BGD-01875
Giasnagar,BGD,BGD-01876
Gidari,BGD,BGD-01877
Gilachhara,BGD,BGD-01878
Goala,BGD,BGD-01879
Goalandaghat Paurashava,BGD,BGD-01880
Goalbari,BGD,BGD-01881
Goaldihi,BGD,BGD-01882
Goaler Char,BGD,BGD-01883
Goalkandi,BGD,BGD-01884
Goalmari,BGD,BGD-01885
Goalnagar,BGD,BGD-01886
Gobaria Abdullahpur,BGD,BGD-01887
Gobinda Para,BGD,BGD-01888
Gobindapur-1,BGD,BGD-01889
Gobindapur-2,BGD,BGD-01890
Gobindapur-3,BGD,BGD-01891
Gobindapur-4,BGD,BGD-01892
Gobindapur-5,BGD,BGD-01893
Gobindapur-6,BGD,BGD-01894
Gobindasi,BGD,BGD-01895
Gobindasree,BGD,BGD-01896
Gobra,BGD,BGD-01897
Gobratala,BGD,BGD-01898
Godagari,BGD,BGD-01899
Godagari Paurashava,BGD,BGD-01900
Goddimari,BGD,BGD-01901
Goga,BGD,BGD-01902
Gognagar,BGD,BGD-01903
Gogram,BGD,BGD-01904
Gohail,BGD,BGD-01905
Gohala,BGD,BGD-01906
Gohalakanda,BGD,BGD-01907
Gohalbari,BGD,BGD-01908
Gohaliabari,BGD,BGD-01909
Gokarna,BGD,BGD-01910
Gokul,BGD,BGD-01911
Gokunda,BGD,BGD-01912
Golabari-1,BGD,BGD-01913
Golabari-2,BGD,BGD-01914
Golabganj,BGD,BGD-01915
Golakandail,BGD,BGD-01916
Golapganj,BGD,BGD-01917
Golapganj Paurashava,BGD,BGD-01918
Golkhali,BGD,BGD-01919
Golmunda,BGD,BGD-01920
Golna,BGD,BGD-01921
Gomastapur,BGD,BGD-01922
Gomnati,BGD,BGD-01923
Gona,BGD,BGD-01924
Gopagram,BGD,BGD-01925
Gopal,BGD,BGD-01926
Gopalganj Paurashava,BGD,BGD-01927
Gopalgram,BGD,BGD-01928
Gopalnagar,BGD,BGD-01929
Gopalpur-1,BGD,BGD-01930
Gopalpur-2,BGD,BGD-01931
Gopalpur-3,BGD,BGD-01932
Gopalpur-4,BGD,BGD-01933
Gopalpur-5,BGD,BGD-01934
Gopalpur-6,BGD,BGD-01935
Gopalpur-7,BGD,BGD-01936
Gopalpur-8,BGD,BGD-01937
Gopalpur (Lalpur) Paurashav,BGD,BGD-01938
Gopalpur Paurashava,BGD,BGD-01939
Gopaya,BGD,BGD-01940
Gopedighi,BGD,BGD-01941
Gopinathpur-1,BGD,BGD-01942
Gopinathpur-2,BGD,BGD-01943
Gopinathpur-3,BGD,BGD-01944
Gopinathpur-4,BGD,BGD-01945
Gopinathpur-5,BGD,BGD-01946
Gorai,BGD,BGD-01947
Goral,BGD,BGD-01948
Gorgram,BGD,BGD-01949
Gosainbari,BGD,BGD-01950
Gosaipur,BGD,BGD-01951
Gosairhat,BGD,BGD-01952
Gosind Durgapur,BGD,BGD-01953
Gosinga,BGD,BGD-01954
Gota Para,BGD,BGD-01955
Gotamari,BGD,BGD-01956
Gotashia,BGD,BGD-01957
Goula Bazar,BGD,BGD-01958
Gourararang,BGD,BGD-01959
Gourdwar,BGD,BGD-01960
Greda,BGD,BGD-01961
Guabaria,BGD,BGD-01962
Guagachhia,BGD,BGD-01963
Guarekha,BGD,BGD-01964
Guatala,BGD,BGD-01965
Gujadia,BGD,BGD-01966
Gulisakhali,BGD,BGD-01967
Gulishakhali,BGD,BGD-01968
Gulshakhali,BGD,BGD-01969
Guman Mardan,BGD,BGD-01970
Gumaniganj,BGD,BGD-01971
Gumti,BGD,BGD-01972
Gunabati,BGD,BGD-01973
Gunahar,BGD,BGD-01974
Gunaigachh,BGD,BGD-01975
Gunaigachha,BGD,BGD-01976
Gunaritala,BGD,BGD-01977
Gunbaha,BGD,BGD-01978
Gundhar,BGD,BGD-01979
Guniak,BGD,BGD-01980
Gurai,BGD,BGD-01981
Gurudaspur Paurashava,BGD,BGD-01982
Guthia,BGD,BGD-01983
Gutudia,BGD,BGD-01984
Habakhali,BGD,BGD-01985
Habaspur,BGD,BGD-01986
Habibpur,BGD,BGD-01987
Habibulla Nagar,BGD,BGD-01988
Habiganj Paurashava,BGD,BGD-01989
Habilas Dwip,BGD,BGD-01990
Habirbari,BGD,BGD-01991
Habla,BGD,BGD-01992
Habra,BGD,BGD-01993
Hadal,BGD,BGD-01994
Hadira,BGD,BGD-01995
Hafizabad,BGD,BGD-01996
Haibatpur,BGD,BGD-01997
Haidgaon,BGD,BGD-01998
Haildhar,BGD,BGD-01999
Haim Char,BGD,BGD-02000
Hairmara,BGD,BGD-02001
Haitkandi,BGD,BGD-02002
Haizadi,BGD,BGD-02003
Hajiganj,BGD,BGD-02004
Hajiganj Paurashava,BGD,BGD-02005
Hajinagar,BGD,BGD-02006
Hajipur-1,BGD,BGD-02007
Hajipur-2,BGD,BGD-02008
Hajipur-3,BGD,BGD-02009
Hajipur-4,BGD,BGD-02010
Hajipur-5,BGD,BGD-02011
Hajir Para,BGD,BGD-02012
Hajirbagh,BGD,BGD-02013
Hajirhat-1,BGD,BGD-02014
Hajirhat-2,BGD,BGD-02015
Hakimpur-1,BGD,BGD-02016
Hakimpur-2,BGD,BGD-02017
Haladia,BGD,BGD-02018
Haldia-1,BGD,BGD-02019
Haldia-2,BGD,BGD-02020
Haldia-3,BGD,BGD-02021
Haldia Palong,BGD,BGD-02022
Haldipur,BGD,BGD-02023
Halidhani,BGD,BGD-02024
Halimpur,BGD,BGD-02025
Halsa,BGD,BGD-02026
Haluaghat,BGD,BGD-02027
Hamidpur-1,BGD,BGD-02028
Hamidpur-2,BGD,BGD-02029
Hamir Kutsha,BGD,BGD-02030
Hamirdi,BGD,BGD-02031
Hanar Char,BGD,BGD-02032
Handial,BGD,BGD-02033
Hapania,BGD,BGD-02034
Hapchhari,BGD,BGD-02035
Haragachh,BGD,BGD-02036
Haragram,BGD,BGD-02037
Haramia,BGD,BGD-02038
Harashpur,BGD,BGD-02039
Harati,BGD,BGD-02040
Harbang,BGD,BGD-02041
Hardi,BGD,BGD-02042
Hargaz,BGD,BGD-02043
Harian,BGD,BGD-02044
Hariarkuti,BGD,BGD-02045
Haribhasa,BGD,BGD-02046
Haridasdi Mahendradi,BGD,BGD-02047
Haridaskati,BGD,BGD-02048
Haridaspur,BGD,BGD-02049
Haridebpur,BGD,BGD-02050
Haridhali,BGD,BGD-02051
Hariharnagar,BGD,BGD-02052
Harinakunda Paurashava,BGD,BGD-02053
Harinarayanpur,BGD,BGD-02054
Harinathpur-1,BGD,BGD-02055
Harinathpur-2,BGD,BGD-02056
Harinchara,BGD,BGD-02057
Haripur-1,BGD,BGD-02058
Haripur-2,BGD,BGD-02059
Haripur-3,BGD,BGD-02060
Haripur-4,BGD,BGD-02061
Haripur-5,BGD,BGD-02062
Harirampur-1,BGD,BGD-02063
Harirampur-2,BGD,BGD-02064
Harirampur-3,BGD,BGD-02065
Harirampur (Part),BGD,BGD-02066
Harishankarpur,BGD,BGD-02067
Harispur,BGD,BGD-02068
Harni,BGD,BGD-02069
Harta,BGD,BGD-02070
Harukandi,BGD,BGD-02071
Harwalchhari,BGD,BGD-02072
Hasail Banari,BGD,BGD-02073
Hasara,BGD,BGD-02074
Hashaighari,BGD,BGD-02075
Hashimpur,BGD,BGD-02076
Hasnabad-1,BGD,BGD-02077
Hasnabad-2,BGD,BGD-02078
Hassan Nagar,BGD,BGD-02079
Hat Sherpur,BGD,BGD-02080
Hatas Haripur,BGD,BGD-02081
Hatebhanga,BGD,BGD-02082
Hathazari,BGD,BGD-02083
Hati Para,BGD,BGD-02084
Hatia,BGD,BGD-02085
Hatiandaha,BGD,BGD-02086
Hatiara,BGD,BGD-02087
Hatibandha,BGD,BGD-02088
Hatibandha Malijhikanda,BGD,BGD-02089
Hatikumrul,BGD,BGD-02090
Hatila Purba,BGD,BGD-02091
Hatiya Paurashava,BGD,BGD-02092
Hatkalu Para,BGD,BGD-02093
Hatkhali,BGD,BGD-02094
Hatkhola,BGD,BGD-02095
Hatpukuria Ghatlabag,BGD,BGD-02096
Hatur,BGD,BGD-02097
Haturia Nakalia,BGD,BGD-02098
Hazariganj,BGD,BGD-02099
Hazipur,BGD,BGD-02100
Hazradanga,BGD,BGD-02101
Hazrapur,BGD,BGD-02102
Hazratpur,BGD,BGD-02103
Helatala,BGD,BGD-02104
Hemayetpur,BGD,BGD-02105
Hemnagar,BGD,BGD-02106
Hesakhal,BGD,BGD-02107
Hilachia,BGD,BGD-02108
Hinguli,BGD,BGD-02109
Hiran,BGD,BGD-02110
Hizla,BGD,BGD-02111
Hizla Gaurabdi,BGD,BGD-02112
Hoanak,BGD,BGD-02113
Hogalbaria,BGD,BGD-02114
Hogla,BGD,BGD-02115
Hogla Pasha,BGD,BGD-02116
Hoglabunia,BGD,BGD-02117
Holokhana,BGD,BGD-02118
Homna Paurashava,BGD,BGD-02119
Homna Union,BGD,BGD-02120
Hosendi,BGD,BGD-02121
Hosnabad-1,BGD,BGD-02122
Hosnabad-2,BGD,BGD-02123
Hossain Gaon,BGD,BGD-02124
Hossaindi,BGD,BGD-02125
Hossainpur-1,BGD,BGD-02126
Hossainpur-2,BGD,BGD-02127
Hossainpur Paurashava,BGD,BGD-02128
Howli,BGD,BGD-02129
Hugra,BGD,BGD-02130
Hujuri Para,BGD,BGD-02131
Humaipur,BGD,BGD-02132
Hurka,BGD,BGD-02133
Ibrahimpur-1,BGD,BGD-02134
Ibrahimpur-2,BGD,BGD-02135
Ichhakhali,BGD,BGD-02136
Ichhali,BGD,BGD-02137
Ichhapur-1,BGD,BGD-02138
Ichhapur-2,BGD,BGD-02139
Idgaon,BGD,BGD-02140
Idgar,BGD,BGD-02141
Idilpur-1,BGD,BGD-02142
Idilpur-2,BGD,BGD-02143
Ikri,BGD,BGD-02144
Illisha,BGD,BGD-02145
Iluhar,BGD,BGD-02146
Imampur,BGD,BGD-02147
Inathganj,BGD,BGD-02148
Isab Pur,BGD,BGD-02149
Isabpur-1,BGD,BGD-02150
Isabpur-2,BGD,BGD-02151
Ishakalas,BGD,BGD-02152
Ishan Gopalpur,BGD,BGD-02153
Ishania,BGD,BGD-02154
Ishwardi,BGD,BGD-02155
Ishwardi Paurashava,BGD,BGD-02156
Ishwarganj,BGD,BGD-02157
Ishwarganj Paurashava,BGD,BGD-02158
Ishwaripur,BGD,BGD-02159
Isibpur,BGD,BGD-02160
Islam Pur,BGD,BGD-02161
Islamabad-1,BGD,BGD-02162
Islamabad-2,BGD,BGD-02163
Islamkati,BGD,BGD-02164
Islampur-1,BGD,BGD-02165
Islampur-2,BGD,BGD-02166
Islampur-3,BGD,BGD-02167
Islampur-4,BGD,BGD-02168
Islampur-5,BGD,BGD-02169
Islampur-6,BGD,BGD-02170
Islampur Paschim,BGD,BGD-02171
Islampur Paurashava,BGD,BGD-02172
Islampur Purba,BGD,BGD-02173
Itabaria,BGD,BGD-02174
Itail,BGD,BGD-02175
Itakhola,BGD,BGD-02176
Itakumari,BGD,BGD-02177
Italy,BGD,BGD-02178
Itna-1,BGD,BGD-02179
Itna-2,BGD,BGD-02180
Jabarhat,BGD,BGD-02181
Jadabpur-1,BGD,BGD-02182
Jadabpur-2,BGD,BGD-02183
Jadabpur-3,BGD,BGD-02184
Jadu Boyra,BGD,BGD-02185
Jadunandi,BGD,BGD-02186
Jadur Char,BGD,BGD-02187
Jafarabad,BGD,BGD-02188
Jafarganj,BGD,BGD-02189
Jafarnagar,BGD,BGD-02190
Jagaddal,BGD,BGD-02191
Jagadishpur-1,BGD,BGD-02192
Jagadishpur-2,BGD,BGD-02193
Jagannath Dighi,BGD,BGD-02194
Jagannathpur-1,BGD,BGD-02195
Jagannathpur-2,BGD,BGD-02196
Jagannathpur-3,BGD,BGD-02197
Jagannathpur Paurashava,BGD,BGD-02198
Jagatber,BGD,BGD-02199
Jagati,BGD,BGD-02200
Jagatpur,BGD,BGD-02201
Jagdal,BGD,BGD-02202
Jagua,BGD,BGD-02203
Jahajmara,BGD,BGD-02204
Jahanabad,BGD,BGD-02205
Jahangirnagar,BGD,BGD-02206
Jahangirpur,BGD,BGD-02207
Jahanpur-1,BGD,BGD-02208
Jahanpur-2,BGD,BGD-02209
Jahapur-1,BGD,BGD-02210
Jahapur-2,BGD,BGD-02211
Jaharpur,BGD,BGD-02212
Jahirabad,BGD,BGD-02213
Jaifarnagar,BGD,BGD-02214
Jaigir,BGD,BGD-02215
Jailashkara,BGD,BGD-02216
Jainkati,BGD,BGD-02217
Jainsar,BGD,BGD-02218
Jaintapur,BGD,BGD-02219
Jalabari,BGD,BGD-02220
Jalalabad-1,BGD,BGD-02221
Jalalabad-2,BGD,BGD-02222
Jalalabad-3,BGD,BGD-02223
Jalalpur-1,BGD,BGD-02224
Jalalpur-2,BGD,BGD-02225
Jalalpur-3,BGD,BGD-02226
Jalalpur-4,BGD,BGD-02227
Jalam,BGD,BGD-02228
Jalia Palong,BGD,BGD-02229
Jalirpar,BGD,BGD-02230
Jalla,BGD,BGD-02231
Jallabad,BGD,BGD-02232
Jalma,BGD,BGD-02233
Jalsuka,BGD,BGD-02234
Jamal,BGD,BGD-02235
Jamalganj,BGD,BGD-02236
Jamalpur-1,BGD,BGD-02237
Jamalpur-2,BGD,BGD-02238
Jamalpur-3,BGD,BGD-02239
Jamalpur-4,BGD,BGD-02240
Jamalpur-5,BGD,BGD-02241
Jamalpur Paurashava,BGD,BGD-02242
Jambaria,BGD,BGD-02243
Jamdia,BGD,BGD-02244
Jamgaon,BGD,BGD-02245
Jamira,BGD,BGD-02246
Jamirta,BGD,BGD-02247
Jamjami,BGD,BGD-02248
Jamnagar,BGD,BGD-02249
Jampur,BGD,BGD-02250
Jamsha,BGD,BGD-02251
Jamtail,BGD,BGD-02252
Jamuria,BGD,BGD-02253
Jamurki,BGD,BGD-02254
Jangal,BGD,BGD-02255
Jangalia-1,BGD,BGD-02256
Jangalia-2,BGD,BGD-02257
Jangalia-3,BGD,BGD-02258
Janglukhain,BGD,BGD-02259
Janipur,BGD,BGD-02260
Jantrail,BGD,BGD-02261
Japsa,BGD,BGD-02262
Jaraitala,BGD,BGD-02263
Jaria,BGD,BGD-02264
Jashai,BGD,BGD-02265
Jashalong,BGD,BGD-02266
Jasodal,BGD,BGD-02267
Jatia,BGD,BGD-02268
Jatrapur-1,BGD,BGD-02269
Jatrapur-2,BGD,BGD-02270
Jatrapur-3,BGD,BGD-02271
Jatsakhni,BGD,BGD-02272
Jawar,BGD,BGD-02273
Jawar Bazar,BGD,BGD-02274
Jayag,BGD,BGD-02275
Jayanti Hajra,BGD,BGD-02276
Jehala,BGD,BGD-02277
Jeopara,BGD,BGD-02278
Jessora,BGD,BGD-02279
Jessore Paurashava,BGD,BGD-02280
Jhalaishalsiri,BGD,BGD-02281
Jhaluka,BGD,BGD-02282
Jhanpa,BGD,BGD-02283
Jhaudanga,BGD,BGD-02284
Jhaudi,BGD,BGD-02285
Jhaudia,BGD,BGD-02286
Jhaugara,BGD,BGD-02287
Jhawail-1,BGD,BGD-02288
Jhawail-2,BGD,BGD-02289
Jhenaidah Paurashava,BGD,BGD-02290
Jhenaigati,BGD,BGD-02291
Jhikargachha,BGD,BGD-02292
Jhikargachha Paurashava,BGD,BGD-02293
Jhikra,BGD,BGD-02294
Jhilim,BGD,BGD-02295
Jhilwanja,BGD,BGD-02296
Jhingrabari,BGD,BGD-02297
Jhunagachh Chapani,BGD,BGD-02298
Jiarakhi,BGD,BGD-02299
Jiarkandi,BGD,BGD-02300
Jiban Nagar Paurashava,BGD,BGD-02301
Jibtali,BGD,BGD-02302
Jinardi,BGD,BGD-02303
Jinari,BGD,BGD-02304
Jinglatali,BGD,BGD-02305
Jinnaghar,BGD,BGD-02306
Jiri,BGD,BGD-02307
Jirtali,BGD,BGD-02308
Jiudhara,BGD,BGD-02309
Jiyanpur,BGD,BGD-02310
Joara,BGD,BGD-02311
Joari,BGD,BGD-02312
Joarianala,BGD,BGD-02313
Jodda,BGD,BGD-02314
Jogania,BGD,BGD-02315
Jogi Para,BGD,BGD-02316
Jogikhali,BGD,BGD-02317
Jonail,BGD,BGD-02318
Jongra,BGD,BGD-02319
Jorabari,BGD,BGD-02320
Joradaha,BGD,BGD-02321
Jorekhali,BGD,BGD-02322
Jorgachha,BGD,BGD-02323
Josar,BGD,BGD-02324
Jotbani,BGD,BGD-02325
Joy Mantap,BGD,BGD-02326
Joy Siddhi,BGD,BGD-02327
Joyag (dakshin Bara Karai),BGD,BGD-02328
Joychandi,BGD,BGD-02329
Joyka,BGD,BGD-02330
Joykalas,BGD,BGD-02331
Joykrishnapur,BGD,BGD-02332
Joymanirhat,BGD,BGD-02333
Joynagar-1,BGD,BGD-02334
Joynagar-2,BGD,BGD-02335
Joynagar-3,BGD,BGD-02336
Joynagar-4,BGD,BGD-02337
Joynagar-5,BGD,BGD-02338
Joypur-1,BGD,BGD-02339
Joypur-2,BGD,BGD-02340
Joypur-3,BGD,BGD-02341
Joypurhat Paurashava,BGD,BGD-02342
Joysree,BGD,BGD-02343
Juggachhala,BGD,BGD-02344
Jugipole,BGD,BGD-02345
Jugli,BGD,BGD-02346
Juidandi,BGD,BGD-02347
Juldha,BGD,BGD-02348
Jummerbari,BGD,BGD-02349
Junedpur,BGD,BGD-02350
Juniadaha,BGD,BGD-02351
Jurai Chhari,BGD,BGD-02352
Juranpur,BGD,BGD-02353
Kabai,BGD,BGD-02354
Kabakhali,BGD,BGD-02355
Kabilpur-1,BGD,BGD-02356
Kabilpur-2,BGD,BGD-02357
Kabirajpur,BGD,BGD-02358
Kabirhat Paurashava,BGD,BGD-02359
Kachakata,BGD,BGD-02360
Kachhapia,BGD,BGD-02361
Kachhari Kayali Para,BGD,BGD-02362
Kachia-1,BGD,BGD-02363
Kachia-2,BGD,BGD-02364
Kachikata,BGD,BGD-02365
Kachina,BGD,BGD-02366
Kachpur,BGD,BGD-02367
Kachua-1,BGD,BGD-02368
Kachua-2,BGD,BGD-02369
Kachua-3,BGD,BGD-02370
Kachua Paurashava,BGD,BGD-02371
Kachuai,BGD,BGD-02372
Kachukata,BGD,BGD-02373
Kadakati,BGD,BGD-02374
Kadalpur,BGD,BGD-02375
Kadam Chilan,BGD,BGD-02376
Kadam Rasul Paurashava,BGD,BGD-02377
Kadambari,BGD,BGD-02378
Kadamtala,BGD,BGD-02379
Kadir Hanif,BGD,BGD-02380
Kadir Jangal,BGD,BGD-02381
Kadir Para,BGD,BGD-02382
Kadirpur-1,BGD,BGD-02383
Kadirpur-2,BGD,BGD-02384
Kadirpur-3,BGD,BGD-02385
Kadla,BGD,BGD-02386
Kadra,BGD,BGD-02387
Kafrikhal,BGD,BGD-02388
Kafuria,BGD,BGD-02389
Kagail,BGD,BGD-02390
Kagapasha,BGD,BGD-02391
Kahaloo,BGD,BGD-02392
Kahaloo Paurashava,BGD,BGD-02393
Kaiarbil,BGD,BGD-02394
Kaichail,BGD,BGD-02395
Kaichapur,BGD,BGD-02396
Kaijuri-1,BGD,BGD-02397
Kaijuri-2,BGD,BGD-02398
Kaikhali,BGD,BGD-02399
Kaikuri,BGD,BGD-02400
Kaila,BGD,BGD-02401
Kailag,BGD,BGD-02402
Kailail,BGD,BGD-02403
Kailasganj,BGD,BGD-02404
Kailati-1,BGD,BGD-02405
Kailati-2,BGD,BGD-02406
Kaimari,BGD,BGD-02407
Kaimpur,BGD,BGD-02408
Kaitail,BGD,BGD-02409
Kaitala Dakshin,BGD,BGD-02410
Kaitala Uttar,BGD,BGD-02411
Kaiyarbil,BGD,BGD-02412
Kajal Dighi Kaliganj,BGD,BGD-02413
Kajalshar,BGD,BGD-02414
Kajulia,BGD,BGD-02415
Kakailseo,BGD,BGD-02416
Kakairgara,BGD,BGD-02417
Kakanhat Paurashava,BGD,BGD-02418
Kakarkandi,BGD,BGD-02419
Kakchira,BGD,BGD-02420
Kakhara,BGD,BGD-02421
Kakilakura,BGD,BGD-02422
Kakina,BGD,BGD-02423
Kakni,BGD,BGD-02424
Kakrajan,BGD,BGD-02425
Kakua,BGD,BGD-02426
Kala Kandi,BGD,BGD-02427
Kala Paharia,BGD,BGD-02428
Kalabari,BGD,BGD-02429
Kalabaria,BGD,BGD-02430
Kaladaha,BGD,BGD-02431
Kaladaraf,BGD,BGD-02432
Kalagachhia,BGD,BGD-02433
Kalai Majh Para,BGD,BGD-02434
Kalai Paurashava,BGD,BGD-02435
Kalair Banga,BGD,BGD-02436
Kalaiya,BGD,BGD-02437
Kalakanda,BGD,BGD-02438
Kalakhali,BGD,BGD-02439
Kalakopa,BGD,BGD-02440
Kalam,BGD,BGD-02441
Kalampati,BGD,BGD-02442
Kalamridha,BGD,BGD-02443
Kalapakurjya,BGD,BGD-02444
Kalapania,BGD,BGD-02445
Kalapur,BGD,BGD-02446
Kalarmarchhara,BGD,BGD-02447
Kalaroa Paurashava,BGD,BGD-02448
Kalaruka,BGD,BGD-02449
Kalaskati,BGD,BGD-02450
Kalaspur,BGD,BGD-02451
Kalatala,BGD,BGD-02452
Kalatia,BGD,BGD-02453
Kalauzan,BGD,BGD-02454
Kaler Para,BGD,BGD-02455
Kalia-1,BGD,BGD-02456
Kalia-2,BGD,BGD-02457
Kalia Haripur,BGD,BGD-02458
Kalia Paurashava,BGD,BGD-02459
Kaliais,BGD,BGD-02460
Kaliakair Paurashava,BGD,BGD-02461
Kaliara Gabragat,BGD,BGD-02462
Kalicharanpur,BGD,BGD-02463
Kalidah,BGD,BGD-02464
Kalidashpur,BGD,BGD-02465
Kaliganj-1,BGD,BGD-02466
Kaliganj-2,BGD,BGD-02467
Kaliganj Paurashava,BGD,BGD-02468
Kalighat,BGD,BGD-02469
Kaligram,BGD,BGD-02470
Kalihati Paurashava,BGD,BGD-02471
Kalika Prasad,BGD,BGD-02472
Kalikachchha,BGD,BGD-02473
Kalikapur-1,BGD,BGD-02474
Kalikapur-2,BGD,BGD-02475
Kalikapur-3,BGD,BGD-02476
Kalikapur-4,BGD,BGD-02477
Kalikapur-5,BGD,BGD-02478
Kalikapur-6,BGD,BGD-02479
Kalimahar,BGD,BGD-02480
Kalindi,BGD,BGD-02481
Kalipur,BGD,BGD-02482
Kalir Bazar (Dakshin),BGD,BGD-02483
Kalir Bazar (Uttar),BGD,BGD-02484
Kalisuri,BGD,BGD-02485
Kalkalia,BGD,BGD-02486
Kalkini Paurashava,BGD,BGD-02487
Kalma-1,BGD,BGD-02488
Kalma-2,BGD,BGD-02489
Kalma-3,BGD,BGD-02490
Kalma-4,BGD,BGD-02491
Kalmakanda,BGD,BGD-02492
Kalmegha,BGD,BGD-02493
Kalora,BGD,BGD-02494
Kalyani,BGD,BGD-02495
Kalyankalas,BGD,BGD-02496
Kalyanpur,BGD,BGD-02497
Kamalabari,BGD,BGD-02498
Kamalapur,BGD,BGD-02499
